name,ein,state,city,assets
A J SCHWARTZE COMMUNITY FOUNDATION,431092255,MO,JEFFERSON CITY,38371909
RICHMOND COMMUNITY FOUNDATION,562168849,NC,CHARLOTTE,34189042
COMMUNITY FOUNDATION INC,237033813,TX,DALLAS,29565519
Seven Seas Community Foundation,872310759,DE,Wilmington,26973652
PHELPS COMMUNITY FOUNDATION INC,133263295,NY,SLEEPY HOLLOW,19754206
People's United Community Foundation of,260814452,CT,bridgeport,15079507
WILSON N JONES COMMUNITY FOUNDATION,752357818,TX,SHERMAN,14687339
COMMUNITY FOUNDATION OF ARDMORE INC,200514419,OK,ARDMORE,13844609
LKQ COMMUNITY FOUNDATION,844058990,IL,CHICAGO,13625977
NAVARRO COMMUNITY FOUNDATION,750800663,TX,CORSICANA,13333892
ROCKVILLE BANK COMMUNITY FOUNDATION INC,203000295,CT,VERNON,10947062
TWIN COUNTY COMMUNITY FOUNDATION,541593923,VA,GALAX,10945591
THE FAYETTE COMMUNITY FOUNDATION,203733823,AL,FAYETTE,10910597
WHEELER COMMUNITY FOUNDATION INC,831247021,OK,OKLAHOMA CITY,10026428
