"feature","mean","sd"
"f_assets",737373534.759933,5090494463.66741
"f_total_grants",17681.5336940868,66550.3550165889
"f_avg_grant",47852.1812323242,256137.53000735
"f_median_grant",16814.3644739171,74651.1518818493
"f_repeat_rate",0.522801906156253,0.1883452422811
"f_openness_score",0.476475630002823,0.187294497869977
"f_in_state_pct",0.530821173310554,0.346320147070486
"f_states_funded",27.6754874238662,44.9053050380475
"f_sectors_funded",18.3885659331984,7.56874751841554
"f_years_active",4.84932849139024,1.30388118190153
"f_foundation_age",6.25359054959882,1.04205529106328
"f_payout_rate",13.528921837531,2016.31740871216
"f_officer_count",4.83638442731583,1.38584541610675
"f_has_paid_staff",0.320396924504921,0.466629342875246
"f_grant_cv",4.21559643983278,5.19512880099293
"f_primary_sector_pct",0.277591987880804,0.162948405641086
"f_pct_capital",0.0244514359806131,0.0701694724546362
"f_pct_operating",0.273955717559699,0.375688292627051
"f_pct_program",0.701574769361792,0.373458447477385
"f_sector_hhi",0.0529895799963255,0.065294651720496
"f_is_accessible",1,1
"f_is_small",0.485948317520466,0.499802750349793
"f_is_growing",0.171860272622448,0.377259135751112
"f_is_declining",0.523627438315463,0.499441671119977
"f_is_recently_active",0.979771012454128,0.140782792181488
"r_total_revenue",84031864.891751,565548588.708
"r_org_age",10,1
"r_is_emerging",0,1
"match_same_state",0.252440348887836,0.434412706677784
"match_sector_pct",0.000833054039338395,0.00140122669274264
"match_state_pct",0.00143610822508337,0.0022014681834594
"match_capital_pct",0.0244514359806131,0.0701694724546362
"match_same_region",0.447474008047577,0.497233603808105
"match_same_division",0.348081164745678,0.476362136023501
"f_log_assets",16.0987918344172,3.77703463619846
"f_log_total_grants",6.62946208007062,2.24362073004357
"f_log_avg_grant",9.53725542053864,1.47396501604733
"f_log_median_grant",8.29100749684755,1.78196227292207
"f_grants_per_year",3185.07678811282,11115.300487272
"f_log_grants_per_year",5.1171557787598,2.23311741459257
"r_log_total_revenue",14.937213697452,2.51607267752069
"r_log_org_age",2.39789527279837,1
"match_state_x_geo_conc",0.00044772224524262,0.000947508212656467
"match_sector_x_sector_hhi",6.89126577957281e-05,0.000331139674363445
"match_grant_size_ratio",6.64476404913832,3.02093791420843
"match_budget_in_range",0.355140258460243,0.438218278307586
"match_semantic_similarity",0.261177358150509,0.17018451123912
"f_state_NY",0.0890046744845866,0.284750627730988
"f_state_CA",0.0746759677905525,0.262867901705093
"f_state_NC",0.0716684130196596,0.257938200466443
"f_state_TX",0.069498150779639,0.254299468539044
"f_state_PA",0.066776710827867,0.249635016275736
"f_state_IL",0.0455276617529556,0.208458473923565
"f_state_OH",0.0437554723047553,0.204550656283496
"f_state_MA",0.0426263235202649,0.202013264698436
"f_state_FL",0.0372092800719593,0.189274361257482
"f_state_MN",0.0312515848751477,0.173996989307905
"f_state_OTHER",0.428005760572612,0.494789918810122
"r_state_CA",0.101475070212959,0.301956896902449
"r_state_NY",0.0903692220834709,0.286710140113216
"r_state_TX",0.0579779624605874,0.233701884015547
"r_state_PA",0.0494069576617051,0.216716301044273
"r_state_FL",0.0415765979129886,0.199619694794307
"r_state_MA",0.0410177649552407,0.198331403346862
"r_state_IL",0.0393852837464774,0.194509946723485
"r_state_OH",0.0364561952470491,0.187422449798719
"r_state_VA",0.0295014042591875,0.169207265810858
"r_state_DC",0.0270928724875243,0.162354162160558
"r_state_OTHER",0.48574066897281,0.499796869248652
"r_ntee_A",0.071434928016765,0.257550077750943
"r_ntee_B",0.140091001736784,0.347081587301057
"r_ntee_C",0.0247886434425641,0.155480512384229
"r_ntee_D",0.0263503136258594,0.160174901741974
"r_ntee_E",0.06856516767381,0.252713368398955
"r_ntee_F",0.0185697129761204,0.134999615464686
"r_ntee_G",0.0156855990469219,0.124256089604011
"r_ntee_H",0.00589262560584095,0.0765369726000205
"r_ntee_I",0.0129995646078839,0.113272186372264
"r_ntee_J",0.0106455764639462,0.102626791063908
"r_ntee_K",0.0182702014765056,0.133926914315141
"r_ntee_L",0.0280679594463343,0.165167112959601
"r_ntee_M",0.00732702732444368,0.0852839313994139
"r_ntee_N",0.026063241900989,0.159323487322711
"r_ntee_O",0.0223676718961566,0.147876232286071
"r_ntee_P",0.115669810102054,0.319828708866611
"r_ntee_Q",0.0230882219255814,0.150183812433548
"r_ntee_R",0.00970685192361978,0.0980440622768222
"r_ntee_S",0.029487050672944,0.169167348799623
"r_ntee_T",0.036237063830398,0.186879566711558
"r_ntee_U",0.00341615352595846,0.0583479792179506
"r_ntee_V",0.00164970551225557,0.0405830698689536
"r_ntee_W",0.0103020472998512,0.100974872507084
"r_ntee_X",0.0203428593300703,0.141170274755581
"r_ntee_Y",0.00562660580746099,0.0747994148933708
"r_ntee_Z",0.15669810102054,0.363516069254697
"r_ntee_UNKNOWN",0.0906515092795935,0.287113030053302
